tempo,setpoint,atual,velocidade
42.467,20.000000,12.910000,100.000000
42.774,20.000000,12.930000,100.000000
42.978,20.000000,12.910000,100.000000
43.281,20.000000,12.930000,100.000000
43.517,20.000000,12.900000,100.000000
43.742,20.000000,12.910000,100.000000
44.010,20.000000,12.910000,100.000000
44.281,20.000000,12.930000,100.000000
44.510,20.000000,12.910000,100.000000
44.781,20.000000,12.910000,100.000000
45.041,20.000000,12.910000,100.000000
45.277,20.000000,12.900000,100.000000
45.615,20.000000,12.910000,100.000000
45.788,20.000000,12.930000,100.000000
46.103,20.000000,12.930000,100.000000
46.335,20.000000,12.900000,100.000000
46.577,20.000000,12.910000,100.000000
46.826,20.000000,12.890000,100.000000
47.064,20.000000,12.930000,100.000000
47.349,20.000000,12.930000,100.000000
