tempo,setpoint,atual,velocidade
21.355,21.559000,15.000000,15.380000
21.470,21.688000,15.000000,15.380000
21.661,21.816000,15.000000,15.380000
21.732,21.944000,15.000000,15.380000
21.855,22.073000,15.000000,15.380000
21.997,22.201000,15.000000,15.380000
22.166,22.329000,15.000000,15.380000
22.242,22.458000,15.000000,15.380000
22.465,22.586000,15.000000,15.380000
22.508,22.714000,15.000000,15.380000
22.628,22.843000,15.000000,15.380000
22.766,22.971000,15.000000,15.380000
22.890,23.099000,15.000000,15.380000
23.015,23.228000,15.000000,15.380000
23.192,23.356000,15.000000,15.380000
23.280,23.484000,15.000000,15.380000
23.402,23.613000,15.000000,15.380000
23.569,23.741000,15.000000,15.380000
23.765,23.869000,15.000000,15.380000
23.800,23.998000,15.000000,15.380000
23.967,24.126000,15.000000,15.380000
24.060,24.254000,15.000000,15.380000
24.174,24.383000,15.000000,15.380000
24.315,24.511000,15.000000,15.380000
24.441,24.640000,15.000000,15.380000
24.561,24.768000,15.000000,15.380000
24.694,24.896000,15.000000,15.380000
24.844,25.025000,15.000000,15.380000
24.963,25.153000,15.000000,15.380000
25.085,25.281000,15.000000,15.380000
25.215,25.410000,15.000000,15.380000
25.351,25.538000,15.000000,15.380000
25.482,25.666000,15.000000,15.380000
25.592,25.795000,15.000000,15.380000
25.737,25.923000,15.000000,15.380000
25.866,26.051000,15.000000,15.380000
25.979,26.180000,15.000000,15.380000
26.107,26.308000,15.000000,15.380000
26.240,26.436000,15.000000,15.380000
26.386,26.565000,15.000000,15.380000
26.519,26.693000,15.000000,15.380000
26.623,26.821000,15.000000,15.380000
26.752,26.950000,15.000000,15.380000
26.880,27.078000,15.000000,15.380000
27.010,27.206000,15.000000,15.380000
27.139,27.335000,15.000000,15.380000
27.267,27.463000,15.000000,15.380000
27.396,27.592000,15.000000,15.380000
27.594,27.720000,15.000000,15.380000
27.735,27.848000,15.000000,15.380000
27.783,27.977000,15.000000,15.380000
27.948,28.105000,15.000000,15.380000
28.051,28.233000,15.000000,15.380000
28.169,28.362000,15.000000,15.380000
28.315,28.490000,15.000000,15.380000
28.427,28.618000,15.000000,15.380000
28.586,28.747000,15.000000,15.380000
28.689,28.875000,15.000000,15.380000
28.816,29.003000,15.000000,15.380000
28.942,29.132000,15.000000,15.380000
29.071,29.260000,15.000000,15.380000
29.200,29.388000,15.000000,15.380000
29.363,29.517000,15.000000,15.380000
29.458,29.645000,15.000000,15.380000
29.612,29.773000,15.000000,15.380000
29.715,29.902000,15.000000,15.380000
29.876,30.031000,10.000000,15.370000
29.964,30.149000,10.000000,15.370000
30.102,30.278000,10.000000,15.370000
30.225,30.407000,10.000000,15.370000
30.360,30.536000,10.000000,15.370000
30.506,30.665000,10.000000,15.370000
30.613,30.794000,10.000000,15.370000
30.769,30.923000,10.000000,15.360000
30.885,31.052000,10.000000,15.360000
31.012,31.181000,10.000000,15.350000
31.131,31.310000,10.000000,15.350000
31.261,31.439000,10.000000,15.340000
31.407,31.568000,10.000000,15.330000
31.519,31.697000,10.000000,15.320000
31.673,31.826000,10.000000,15.310000
31.797,31.955000,10.000000,15.300000
31.908,32.083000,10.000000,15.270000
32.037,32.212000,10.000000,15.230000
32.167,32.342000,10.000000,15.190000
32.308,32.471000,10.000000,15.140000
32.425,32.599000,10.000000,15.090000
32.554,32.727000,10.000000,15.030000
32.721,32.856000,10.000000,14.950000
32.841,32.984000,10.000000,14.830000
32.947,33.112000,10.000000,14.720000
33.069,33.241000,10.000000,14.620000
33.225,33.369000,10.000000,14.500000
33.327,33.497000,10.000000,14.390000
33.477,33.625000,10.000000,14.270000
33.584,33.754000,10.000000,14.140000
33.741,33.882000,10.000000,14.020000
33.842,34.010000,10.000000,13.920000
34.039,34.138000,10.000000,13.810000
34.160,34.266000,10.000000,13.720000
34.255,34.395000,10.000000,13.600000
34.393,34.523000,10.000000,13.500000
34.500,34.651000,10.000000,13.410000
34.618,34.779000,10.000000,13.320000
34.749,34.907000,10.000000,13.240000
34.871,35.035000,10.000000,13.120000
35.000,35.163000,10.000000,13.020000
35.128,35.291000,10.000000,12.940000
35.264,35.419000,10.000000,12.870000
35.385,35.547000,10.000000,12.790000
35.527,35.675000,10.000000,12.700000
35.642,35.803000,10.000000,12.630000
35.802,35.931000,10.000000,12.560000
35.908,36.059000,10.000000,12.490000
36.040,36.187000,10.000000,12.420000
36.155,36.315000,10.000000,12.350000
36.324,36.442000,10.000000,12.260000
36.412,36.570000,10.000000,12.180000
36.586,36.698000,10.000000,12.120000
36.671,36.826000,10.000000,12.050000
36.797,36.954000,10.000000,11.990000
36.939,37.082000,10.000000,11.920000
37.054,37.209000,10.000000,11.850000
37.217,37.337000,10.000000,11.780000
37.324,37.465000,10.000000,11.720000
37.439,37.593000,10.000000,11.660000
37.581,37.720000,10.000000,11.580000
37.695,37.848000,10.000000,11.510000
37.823,37.976000,10.000000,11.440000
37.951,38.103000,10.000000,11.370000
38.079,38.231000,10.000000,11.290000
38.226,38.359000,10.000000,11.220000
38.336,38.486000,10.000000,11.140000
38.464,38.614000,10.000000,11.070000
38.648,38.740000,10.000000,10.990000
38.775,38.868000,10.000000,10.920000
38.864,38.995000,10.000000,10.840000
38.976,39.123000,10.000000,10.770000
39.126,39.251000,10.000000,10.700000
39.238,39.378000,10.000000,10.630000
39.360,39.505000,10.000000,10.540000
39.509,39.633000,10.000000,10.470000
39.630,39.760000,10.000000,10.400000
39.740,39.887000,10.000000,10.290000
39.867,40.014000,10.000000,10.210000
39.994,40.141000,10.000000,10.150000
40.133,40.268000,10.000000,10.100000
40.258,40.395000,10.000000,10.060000
40.377,40.522000,10.000000,10.020000
40.504,40.649000,10.000000,9.990000
40.666,40.776000,10.000000,9.960000
40.805,40.903000,10.000000,9.940000
40.940,41.030000,10.000000,9.920000
41.024,41.157000,10.000000,9.900000
41.141,41.284000,10.000000,9.880000
41.332,41.411000,10.000000,9.870000
41.432,41.538000,10.000000,9.860000
41.549,41.665000,10.000000,9.850000
41.689,41.792000,10.000000,9.840000
41.782,41.919000,10.000000,9.830000
41.906,42.046000,10.000000,9.820000
42.033,42.173000,10.000000,9.810000
42.160,42.300000,10.000000,9.790000
42.295,42.427000,10.000000,9.780000
42.416,42.554000,10.000000,9.780000
42.568,42.681000,10.000000,9.780000
42.670,42.808000,10.000000,9.770000
42.809,42.935000,10.000000,9.770000
42.930,43.062000,10.000000,9.770000
43.054,43.189000,10.000000,9.770000
43.180,43.316000,10.000000,9.760000
43.308,43.443000,10.000000,9.760000
43.458,43.570000,10.000000,9.760000
43.563,43.697000,10.000000,9.760000
43.702,43.824000,10.000000,9.750000
43.853,43.951000,10.000000,9.750000
43.972,44.078000,10.000000,9.750000
44.090,44.205000,10.000000,9.750000
44.203,44.332000,10.000000,9.750000
44.327,44.459000,10.000000,9.740000
44.537,44.585000,10.000000,9.740000
44.583,44.712000,10.000000,9.740000
44.710,44.839000,10.000000,9.740000
44.865,44.966000,10.000000,9.740000
44.976,45.093000,10.000000,9.740000
45.116,45.220000,10.000000,9.740000
45.220,45.347000,10.000000,9.730000
45.347,45.474000,10.000000,9.730000
45.519,45.601000,10.000000,9.730000
45.656,45.728000,10.000000,9.730000
45.792,45.855000,10.000000,9.730000
45.932,45.982000,10.000000,9.730000
46.000,46.109000,10.000000,9.730000
46.129,46.236000,10.000000,9.730000
46.239,46.363000,10.000000,9.730000
46.367,46.490000,10.000000,9.730000
46.521,46.617000,10.000000,9.730000
46.622,46.744000,10.000000,9.730000
46.749,46.871000,10.000000,9.730000
46.951,46.998000,10.000000,9.730000
47.035,47.125000,10.000000,9.730000
47.143,47.252000,10.000000,9.720000
47.259,47.379000,10.000000,9.720000
47.386,47.506000,10.000000,9.720000
47.513,47.633000,10.000000,9.720000
47.641,47.760000,10.000000,9.720000
47.792,47.887000,10.000000,9.720000
47.909,48.014000,10.000000,9.720000
48.033,48.141000,10.000000,9.720000
48.186,48.268000,10.000000,9.720000
48.278,48.395000,10.000000,9.720000
48.406,48.522000,10.000000,9.720000
48.553,48.649000,10.000000,9.720000
48.688,48.776000,10.000000,9.720000
48.809,48.903000,10.000000,9.720000
48.916,49.030000,10.000000,9.710000
49.043,49.157000,10.000000,9.710000
49.182,49.284000,10.000000,9.710000
49.298,49.411000,10.000000,9.710000
49.426,49.538000,10.000000,9.710000
49.591,49.665000,10.000000,9.710000
49.712,49.792000,10.000000,9.710000
49.822,49.918000,10.000000,9.710000
49.935,50.045000,10.000000,9.710000
50.062,50.172000,10.000000,9.710000
50.190,50.299000,10.000000,9.710000
50.318,50.426000,10.000000,9.710000
50.470,50.553000,10.000000,9.710000
50.572,50.679000,10.000000,9.710000
50.700,50.806000,10.000000,9.710000
50.856,50.933000,10.000000,9.710000
50.955,51.060000,10.000000,9.710000
51.082,51.187000,10.000000,9.710000
51.209,51.314000,10.000000,9.710000
51.374,51.441000,10.000000,9.710000
51.465,51.568000,10.000000,9.710000
51.592,51.695000,10.000000,9.710000
51.728,51.822000,10.000000,9.710000
51.847,51.949000,10.000000,9.710000
51.974,52.076000,10.000000,9.710000
52.102,52.203000,10.000000,9.710000
52.229,52.330000,10.000000,9.710000
52.357,52.457000,10.000000,9.710000
52.547,52.584000,10.000000,9.710000
52.660,52.711000,10.000000,9.710000
52.761,52.838000,10.000000,9.710000
52.880,52.965000,10.000000,9.710000
52.994,53.092000,10.000000,9.710000
53.122,53.219000,10.000000,9.710000
53.255,53.346000,10.000000,9.710000
53.376,53.473000,10.000000,9.710000
53.504,53.600000,10.000000,9.710000
53.631,53.727000,10.000000,9.710000
53.775,53.854000,10.000000,9.710000
53.897,53.981000,10.000000,9.710000
54.013,54.108000,10.000000,9.710000
54.175,54.235000,10.000000,9.710000
54.269,54.362000,10.000000,9.710000
54.396,54.489000,10.000000,9.710000
54.551,54.616000,10.000000,9.710000
54.699,54.743000,10.000000,9.710000
54.818,54.870000,10.000000,9.710000
54.905,54.996000,10.000000,9.710000
55.033,55.123000,10.000000,9.710000
55.171,55.250000,10.000000,9.710000
55.288,55.377000,10.000000,9.710000
55.419,55.504000,10.000000,9.710000
55.543,55.631000,10.000000,9.710000
55.671,55.758000,10.000000,9.710000
55.823,55.885000,10.000000,9.710000
55.929,56.012000,10.000000,9.710000
56.053,56.139000,10.000000,9.710000
56.222,56.265000,10.000000,9.710000
56.365,56.392000,10.000000,9.710000
56.448,56.519000,10.000000,9.710000
